Title,Address,Building Info,Transport 1,Transport 2,Transport 3,Floor,Rent,Administration Fee,Deposit,Gratuity,Layout,Size,Detail URL
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"新築
15階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/四ツ谷駅 歩11分,13階,32万円,30000円,64万円,32万円,1LDK,51.75m2,/chintai/jnc_000086215270/?bc=100335490291
ザ・パークハウス麹町レジデンス,東京都千代田区麹町３,"新築
15階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/四ツ谷駅 歩11分,13階,33万円,30000円,66万円,33万円,1LDK,51.75m2,/chintai/jnc_000086215270/?bc=100335490291
ル・三番町,東京都千代田区三番町,"築29年
5階建",東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/市ケ谷駅 歩10分,東京メトロ有楽町線/麹町駅 歩10分,1階,13.5万円,10000円,13.5万円,13.5万円,1LDK,36.15m2,/chintai/jnc_000073069540/?bc=100339692641
東京メトロ有楽町線 麹町駅 地下1地上14階建 築9年,東京都千代田区平河町１,"築9年
地下1地上14階建",東京メトロ有楽町線/麹町駅 歩3分,東京メトロ半蔵門線/半蔵門駅 歩4分,東京メトロ千代田線/赤坂駅 歩12分,9階,23.8万円,12000円,23.8万円,-,1LDK,45.83m2,/chintai/jnc_000086356983/?bc=100356158463
東京メトロ有楽町線 麹町駅 地下1地上14階建 築9年,東京都千代田区平河町１,"築9年
地下1地上14階建",東京メトロ有楽町線/麹町駅 歩3分,東京メトロ半蔵門線/半蔵門駅 歩4分,東京メトロ千代田線/赤坂駅 歩12分,10階,24万円,12000円,24万円,-,1LDK,45.83m2,/chintai/jnc_000086356983/?bc=100356158463
四番町セントラルシティハウス,東京都千代田区四番町,"築20年
7階建",東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/市ケ谷駅 歩8分,東京メトロ有楽町線/麹町駅 歩10分,7階,23.5万円,-,23.5万円,23.5万円,1LDK,46.61m2,/chintai/jnc_000055185454/?bc=100334682150
四番町セントラルシティハウス,東京都千代田区四番町,"築20年
7階建",東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/市ケ谷駅 歩8分,東京メトロ有楽町線/麹町駅 歩10分,7階,23.5万円,-,23.5万円,23.5万円,1LDK,46.61m2,/chintai/jnc_000055185454/?bc=100334682150
東京メトロ半蔵門線 半蔵門駅 7階建 築60年,東京都千代田区一番町,"築60年
7階建",東京メトロ半蔵門線/半蔵門駅 歩5分,ＪＲ中央線/市ケ谷駅 歩9分,東京メトロ有楽町線/麹町駅 歩10分,3階,14.4万円,9000円,14.4万円,14.4万円,1LDK,49.82m2,/chintai/jnc_000084068881/?bc=100341962672
パレステュディオ三番町,東京都千代田区三番町,"築22年
9階建",東京メトロ半蔵門線/半蔵門駅 歩6分,ＪＲ中央線/市ケ谷駅 歩7分,東京メトロ有楽町線/市ケ谷駅 歩7分,8階,19万円,-,19万円,19万円,1LDK,56.5m2,/chintai/jnc_000086747005/?bc=100355522868
東京メトロ有楽町線 麹町駅 9階建 築19年,東京都千代田区紀尾井町,"築19年
9階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ南北線/永田町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩10分,3階,19.2万円,10000円,19.2万円,38.4万円,1LDK,45.43m2,/chintai/jnc_000085621997/?bc=100354920787
東京メトロ有楽町線 麹町駅 9階建 築19年,東京都千代田区紀尾井町,"築19年
9階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ南北線/永田町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩10分,6階,23.5万円,10000円,23.5万円,23.5万円,1LDK,55m2,/chintai/jnc_000085621997/?bc=100354920787
東京メトロ有楽町線 麹町駅 9階建 築19年,東京都千代田区紀尾井町,"築19年
9階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ南北線/永田町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩10分,4階,23.8万円,10000円,23.8万円,47.6万円,1LDK,55m2,/chintai/jnc_000085621997/?bc=100354920787
東京メトロ有楽町線 麹町駅 9階建 築19年,東京都千代田区紀尾井町,"築19年
9階建",東京メトロ有楽町線/麹町駅 歩4分,東京メトロ南北線/永田町駅 歩4分,東京メトロ半蔵門線/半蔵門駅 歩10分,4階,23.8万円,10000円,23.8万円,47.6万円,1LDK,55m2,/chintai/jnc_000085621997/?bc=100354920787
クレール麹町,東京都千代田区麹町１,"築44年
地下2地上10階建",東京メトロ半蔵門線/半蔵門駅 歩1分,東京メトロ有楽町線/麹町駅 歩6分,ＪＲ中央線/四ツ谷駅 歩11分,6階,19.8万円,-,19.8万円,19.8万円,1DK,49.51m2,/chintai/jnc_000085439172/?bc=100314301086
東京メトロ有楽町線 麹町駅 12階建 築29年,東京都千代田区四番町,"築29年
12階建",東京メトロ有楽町線/麹町駅 歩4分,ＪＲ中央線/市ケ谷駅 歩7分,東京メトロ半蔵門線/半蔵門駅 歩7分,6階,34万円,10000円,34万円,34万円,1LDK,84.33m2,/chintai/jnc_000086123550/?bc=100351450133
東京メトロ半蔵門線 半蔵門駅 19階建 築16年,東京都千代田区一番町,"築16年
19階建",東京メトロ半蔵門線/半蔵門駅 歩2分,東京メトロ有楽町線/麹町駅 歩5分,都営新宿線/市ケ谷駅 歩10分,3階,24万円,10000円,24万円,-,1LDK,54.98m2,/chintai/jnc_000086561197/?bc=100354261658
